Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
0	-11.659349	0.016774654	-11.642575	-11.676125	250.0	0.6159215	0.5107078	2.0980425	-0.9035456	500	9.059906e-07	14.383774	-0.12592459	-13.778416	367.80426	0.2785249	0.834	1.0	2.183119297027588
1	-11.615749	0.008699894	-11.60705	-11.62445	250.0	-2.614793	0.6693078	-0.79052997	-4.3294454	1000	6.9618227e-07	1.7156736	-0.14681862	-1.4501145	368.0393	0.029772216	0.942	6.0	4.00444483757019
2	-11.650738	0.0023627281	-11.648375	-11.6531	250.0	-3.1943955	0.66172975	-1.9105065	-4.9747458	1500	-9.57489e-07	1.3681481	-0.13656269	-1.3044636	367.81143	0.036554262	0.852	4.0	5.8511011600494385
3	-11.63795	0.0034246445	-11.634525	-11.641375	250.0	-2.7722428	0.6835572	-1.0021554	-4.7331686	2000	2.1018982e-06	1.8998661	-0.1375902	-1.8826926	367.71478	0.049334593	0.73	2.0	7.630827188491821
4	-11.659437	0.0054125786	-11.654025	-11.66485	250.0	-2.9315183	0.5155463	-1.3423272	-5.007209	2500	-4.4631958e-07	1.4960414	-0.11374324	-1.4776412	366.70145	0.08229809	0.652	2.0	9.412343502044678
5	-11.640437	0.004787445	-11.63565	-11.645225	250.0	-3.0645533	0.63356155	-1.0872054	-5.6827326	3000	-4.749298e-07	1.5519733	-0.13196559	-1.5353999	366.5017	0.06983234	0.676	2.0	11.212328672409058
6	-11.623238	0.044387817	-11.57885	-11.667625	250.0	-3.1514664	0.5341154	-1.241278	-4.251764	3500	2.9945375e-07	1.6136705	-0.11667524	-1.59387	367.13486	0.081933044	0.658	2.0	12.996426820755005
7	-11.63415	0.010025024	-11.624125	-11.644175	250.0	-2.9954755	0.61536163	-0.7000215	-4.9734855	4000	3.299713e-07	1.5790741	-0.11495935	-1.566478	367.09927	0.07849676	0.636	2.0	14.777862787246704
8	-11.658237	0.01576233	-11.642475	-11.674	250.0	-3.184724	0.49395445	-1.8321937	-4.4864626	4500	1.3656617e-06	1.2473737	-0.10889385	-1.2291343	368.29654	0.05495587	0.568	1.0	16.548599243164062
9	-11.62285	0.014000416	-11.60885	-11.63685	250.0	-3.0407586	0.5877146	-1.6140373	-4.945017	5000	-9.555816e-07	1.2945193	-0.11280482	-1.2788168	368.67505	0.09131622	0.682	2.0	18.331499338150024
10	-11.637675	0.019724846	-11.61795	-11.6574	250.0	-2.7518942	0.7429129	-0.82381594	-4.257738	5500	4.4250487e-07	1.5075305	-0.13198347	-1.4854969	368.24222	0.051669557	0.734	2.0	20.323325157165527
11	-11.666637	0.0025377274	-11.6641	-11.669175	250.0	-3.0481586	0.5425936	-1.4691688	-4.6089816	6000	-8.163452e-07	1.4577885	-0.1267699	-1.442686	366.5445	0.07050415	0.672	2.0	22.105669021606445
12	-11.600975	0.014750004	-11.586225	-11.615725	250.0	-3.0874507	0.60565186	-1.3563985	-4.3080153	6500	6.694794e-07	1.5708822	-0.104564	-1.5582774	368.27182	0.048943605	0.546	1.0	23.87989044189453
13	-11.623737	0.004612446	-11.619125	-11.62835	250.0	-3.097516	0.47704184	-1.8633595	-4.3861027	7000	1.1348725e-06	1.2600216	-0.11233134	-1.247275	368.42084	0.0761778	0.626	2.0	25.661545753479004
14	-11.632237	0.019812584	-11.612425	-11.65205	250.0	-2.7226465	0.66440547	-0.73539585	-4.593902	7500	-3.051758e-08	1.9272524	-0.11058966	-1.9055696	368.4407	0.075436525	0.648	2.0	27.44718027114868
15	-11.622612	0.0071377754	-11.615475	-11.62975	250.0	-3.2597046	0.51034784	-1.7171628	-4.568958	8000	-1.9569397e-06	1.426881	-0.106187865	-1.4071531	367.00626	0.037494812	0.486	1.0	29.221373319625854
16	-11.638638	0.04491234	-11.593725	-11.68355	250.0	-2.9190452	0.68015975	-0.8637658	-4.2719636	8500	7.2288515e-07	1.475147	-0.11300803	-1.4630275	368.1053	0.060482055	0.604	2.0	31.004114389419556
17	-11.656626	0.0028748512	-11.65375	-11.6595	250.0	-3.0591505	0.67561543	-0.74565214	-4.9822636	9000	2.1896362e-06	1.4171878	-0.11866681	-1.40792	368.69644	0.050918702	0.652	2.0	32.77620816230774
18	-11.665037	0.015487194	-11.64955	-11.680525	250.0	-3.0186827	0.5723455	-1.4607028	-4.781693	9500	-7.9345705e-07	1.364878	-0.113674685	-1.3519784	367.54724	0.059939332	0.676	2.0	34.55821633338928
19	-11.630275	0.012499809	-11.617775	-11.642775	250.0	-3.0579715	0.5638334	-1.3397993	-4.5959845	10000	1.3656617e-06	1.3046916	-0.11733403	-1.2889982	366.79922	0.061289854	0.6	2.0	36.339930057525635
